row_id	repo	commit	path	member	kind	class	comment_chars	diff_size	overlap	lines_before	lines_after	abstract_toggle
glam-sdk-java#9278933#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.failCurrentBatches(RuntimeException)	glam-sdk-java	92789332d7d51f2a4ff5ea6513228063b1e4a335	services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java	AccountFetcherImpl.failCurrentBatches(RuntimeException)	method	BODY_ONLY	490	29	0.000	27	26	false
glam-sdk-java#bb830ff#services/src/main/java/systems/glam/services/db/sql/BatchSqlExecutorImpl.java#BatchSqlExecutorImpl.run()	glam-sdk-java	bb830ff4060fa2af30fd8d273d4325ce60edaf30	services/src/main/java/systems/glam/services/db/sql/BatchSqlExecutorImpl.java	BatchSqlExecutorImpl.run()	method	BODY_ONLY	789	4	0.000	92	96	false
http-servers#430e6d0#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/SvmExactSettler.java#SvmExactSettler.settle(PaymentPayload, PaymentRequirements)	http-servers	430e6d0839fa3674806b3e95da51d323f73c9665	http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/SvmExactSettler.java	SvmExactSettler.settle(PaymentPayload, PaymentRequirements)	method	BODY_ONLY	77	20	0.000	60	64	false
http-servers#696ce3c#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/SvmExactVerifier.java#SvmExactVerifier.verify(PaymentRequirements, byte[])	http-servers	696ce3c6a5c3366e125796391038a9cfe92089b0	http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/SvmExactVerifier.java	SvmExactVerifier.verify(PaymentRequirements, byte[])	method	BODY_ONLY	71	26	0.000	134	138	false
incident-client#00a96ee#incident-webhook/src/main/java/software/sava/incident/webhook/BaseWebhookIncidentClientFactory.java#BaseWebhookIncidentClientFactory.format(WebhookConfig)	incident-client	00a96eef9cd7617d092d3f5be9fc7dcc0d85920b	incident-webhook/src/main/java/software/sava/incident/webhook/BaseWebhookIncidentClientFactory.java	BaseWebhookIncidentClientFactory.format(WebhookConfig)	method	BODY_ONLY	214	2	0.667	1	1	false
incident-client#00a96ee#incident-webhook/src/main/java/software/sava/incident/webhook/WebhookFormats.java#WebhookFormats.renderPlainText(IncidentAlert)	incident-client	00a96eef9cd7617d092d3f5be9fc7dcc0d85920b	incident-webhook/src/main/java/software/sava/incident/webhook/WebhookFormats.java	WebhookFormats.renderPlainText(IncidentAlert)	method	CO_EDIT	152	2	0.000	27	27	false
incident-client#0c778ee#incident-core/src/main/java/software/sava/incident/core/json/JsonUtil.java#JsonUtil.escapeJson(String)	incident-client	0c778ee5bde9e1de93e35679d83a8aa9246986cb	incident-core/src/main/java/software/sava/incident/core/json/JsonUtil.java	JsonUtil.escapeJson(String)	method	CO_EDIT	205	2	0.333	3	3	false
incident-client#0c778ee#incident-core/src/main/java/software/sava/incident/core/json/JsonUtil.java#JsonUtil.escapeJsonRemoveNewLines(String)	incident-client	0c778ee5bde9e1de93e35679d83a8aa9246986cb	incident-core/src/main/java/software/sava/incident/core/json/JsonUtil.java	JsonUtil.escapeJsonRemoveNewLines(String)	method	CO_EDIT	141	2	0.500	3	3	false
incident-client#61c84ba#incident-core/src/main/java/software/sava/incident/core/api/IncidentClients.java#IncidentClients.loadFactory(String)	incident-client	61c84ba74cdf1e2927097d051b3ab5f14fa35ac5	incident-core/src/main/java/software/sava/incident/core/api/IncidentClients.java	IncidentClients.loadFactory(String)	method	BODY_ONLY	160	17	1.000	18	3	false
json-iterator#2f07ba7#json-iterator/src/main/java/systems/comodal/jsoniter/BaseJsonIterator.java#BaseJsonIterator.skipLiteral(String, String, String)	json-iterator	2f07ba7600bbc6a7f52dfd6d4253caab10ab2d1d	json-iterator/src/main/java/systems/comodal/jsoniter/BaseJsonIterator.java	BaseJsonIterator.skipLiteral(String, String, String)	method	BODY_ONLY	136	2	0.000	8	8	false
